agecat,reg,educ,n
1,1,1,74429
1,1,2,151366
1,1,3,222268
1,2,1,62960
1,2,2,223809
1,2,3,202747
1,3,1,38606
1,3,2,135874
1,3,3,139402
1,4,1,50383
1,4,2,162159
1,4,3,254555
1,5,1,37704
1,5,2,156758
1,5,3,115398
1,6,1,21570
1,6,2,100426
1,6,3,97065
1,7,1,10032
1,7,2,32374
1,7,3,40469
2,1,1,108262
2,1,2,171806
2,1,3,151239
2,2,1,96775
2,2,2,270264
2,2,3,161168
2,3,1,52692
2,3,2,166011
2,3,3,112626
2,4,1,61282
2,4,2,179568
2,4,3,165893
2,5,1,58168
2,5,2,184532
2,5,3,93244
2,6,1,38219
2,6,2,117044
2,6,3,80202
2,7,1,21366
2,7,2,51515
2,7,3,33415
3,1,1,91658
3,1,2,108490
3,1,3,66910
3,2,1,110520
3,2,2,174233
3,2,3,62966
3,3,1,57108
3,3,2,111317
3,3,3,42291
3,4,1,55186
3,4,2,132412
3,4,3,56772
3,5,1,68801
3,5,2,107155
3,5,3,34829
3,6,1,45424
3,6,2,65647
3,6,3,25207
3,7,1,29074
3,7,2,34218
3,7,3,13095
